Method,Backbone,summary_manage,summary_visit,summary_resource,summary_avg,gender_swap_manage,gender_swap_visit,gender_swap_resource,gender_swap_avg,uncertain_tone_manage,uncertain_tone_visit,uncertain_tone_resource,uncertain_tone_avg,Manage,Visit,Resource,Overall
Baseline,Llama 70B,9.6,9.6,6.0,8.4,2.7,4.4,4.0,3.7,9.8,9.8,8.9,9.5,7.4,7.9,6.3,7.2
Baseline,Llama 8B,47.0,44.6,44.0,45.2,8.9,8.4,7.6,8.3,20.4,19.6,19.1,19.7,25.4,24.2,23.6,24.4
Baseline,Qwen 235B,13.3,12.7,9.6,11.9,2.2,3.6,2.7,2.8,4.9,7.1,6.2,6.1,6.8,7.8,6.2,6.9
MedReason,Llama 70B,7.2,6.6,5.4,6.4,1.3,3.1,3.1,2.5,8.0,8.4,7.6,8.0,5.5,6.0,5.4,5.6
MedReason,Llama 8B,36.7,34.3,33.7,34.9,4.0,4.0,3.6,3.9,15.6,16.0,16.0,15.9,18.8,18.1,17.8,18.2
MedReason,Qwen 235B,13.9,11.4,10.2,11.8,1.8,2.2,3.6,2.5,4.4,4.4,4.4,4.4,6.7,6.0,6.1,6.3
ToolUni,Llama 70B,9.6,18.7,7.8,12.0,4.4,7.1,3.6,5.0,7.1,12.0,4.4,7.8,7.0,12.6,5.3,8.3
ToolUni,Qwen 235B,10.2,9.6,8.4,9.4,3.6,4.0,3.1,3.6,8.0,7.6,8.0,7.9,7.3,7.1,6.5,6.9
ToolUni,Llama 8B,22.9,21.1,21.1,21.7,11.1,11.6,12.0,11.6,14.7,14.7,14.7,14.7,16.2,15.8,15.9,16.0
MedPathAgent,Llama 70B,10.8,17.5,8.4,12.2,4.0,7.1,2.7,4.6,5.8,8.9,5.8,6.8,6.9,11.2,5.6,7.9
MedPathAgent,Qwen 235B,10.8,10.8,7.8,9.8,3.6,2.7,2.7,3.0,5.3,5.8,6.2,5.8,6.6,6.4,5.6,6.2
MedPathAgent,Llama 8B,19.3,18.7,18.1,18.7,16.0,16.9,16.0,16.3,18.2,18.2,17.3,17.9,17.8,17.9,17.1,17.6
