source,condition,task,ATR,SEM,N,ATR_reference,delta_vs_Clinician-consensus,pct_delta_vs_Clinician-consensus
Clinician-consensus,baseline,MANAGE,0.2072072072072072,0.027263784382627967,222,0.2072072072072072,0.0,0.0
Clinician-consensus,baseline,RESOURCE,0.8423423423423423,0.0245135220454941,222,0.8423423423423423,0.0,0.0
Clinician-consensus,baseline,VISIT,0.8423423423423423,0.024513522045494097,222,0.8423423423423423,0.0,0.0
Clinician-consensus,colorful_tone,MANAGE,0.24,0.04292346959909279,100,0.24,0.0,0.0
Clinician-consensus,colorful_tone,RESOURCE,0.82,0.03861229196653691,100,0.82,0.0,0.0
Clinician-consensus,colorful_tone,VISIT,0.87,0.03379976689896311,100,0.87,0.0,0.0
Clinician-consensus,gender_removal,MANAGE,0.165,0.02631229148928473,200,0.165,0.0,0.0
Clinician-consensus,gender_removal,RESOURCE,0.9,0.021266436150250076,200,0.9,0.0,0.0
Clinician-consensus,gender_removal,VISIT,0.91,0.02028688711815402,200,0.91,0.0,0.0
Clinician-consensus,gender_swap,MANAGE,0.17587939698492464,0.02705641643321964,199,0.17587939698492464,0.0,0.0
Clinician-consensus,gender_swap,RESOURCE,0.8743718592964824,0.023553690114600304,199,0.8743718592964824,0.0,0.0
Clinician-consensus,gender_swap,VISIT,0.9095477386934674,0.020384021486818733,199,0.9095477386934674,0.0,0.0
Clinician-consensus,summary,MANAGE,0.4105263157894737,0.050738635645512106,95,0.4105263157894737,0.0,0.0
Clinician-consensus,summary,RESOURCE,0.8736842105263158,0.0342643215597545,95,0.8736842105263158,0.0,0.0
Clinician-consensus,summary,VISIT,0.8631578947368421,0.035447945577163416,95,0.8631578947368421,0.0,0.0
Clinician-consensus,uncertain_tone,MANAGE,0.23,0.04229525846816508,100,0.23,0.0,0.0
Clinician-consensus,uncertain_tone,RESOURCE,0.84,0.036845294917747066,100,0.84,0.0,0.0
Clinician-consensus,uncertain_tone,VISIT,0.86,0.034873508801977704,100,0.86,0.0,0.0
GPT-4o,baseline,MANAGE,0.1388212372138334,0.007632836027629913,2053,0.2072072072072072,-0.06838596999337379,-33.00366377941083
GPT-4o,baseline,RESOURCE,0.8748173404773503,0.0073053680387787975,2053,0.8423423423423423,0.03247499813500798,3.855320634209504
GPT-4o,baseline,VISIT,0.855820750121773,0.00775450550613184,2053,0.8423423423423423,0.013478407779430768,1.6001104422639734
GPT-4o,colorful_tone,MANAGE,0.21973094170403587,0.02779017706438357,223,0.24,-0.02026905829596412,-8.445440956651717
GPT-4o,colorful_tone,RESOURCE,0.7309417040358744,0.02976377940687491,223,0.82,-0.08905829596412551,-10.860767800503112
GPT-4o,colorful_tone,VISIT,0.7713004484304933,0.028188240046929193,223,0.87,-0.09869955156950672,-11.344776042472036
GPT-4o,gender_removal,MANAGE,0.08563829787234042,0.006455496307470739,1880,0.165,-0.07936170212765958,-48.098001289490654
GPT-4o,gender_removal,RESOURCE,0.8909574468085106,0.0071905663312727686,1880,0.9,-0.009042553191489389,-1.00472813238771
GPT-4o,gender_removal,VISIT,0.8968085106382979,0.007017919960888927,1880,0.91,-0.013191489361702113,-1.4496142155716607
GPT-4o,gender_swap,MANAGE,0.08123997862105825,0.006317789352030932,1871,0.17587939698492464,-0.09463941836386638,-53.8092692983126
GPT-4o,gender_swap,RESOURCE,0.8909673971138429,0.007207560439110916,1871,0.8743718592964824,0.01659553781736045,1.897995417042948
GPT-4o,gender_swap,VISIT,0.9027258150721539,0.006852608616626035,1871,0.9095477386934674,-0.006821923621313508,-0.7500346964869546
GPT-4o,summary,MANAGE,0.4953271028037383,0.027949629024360118,321,0.4105263157894737,0.08480078701426463,20.65660196501318
GPT-4o,summary,RESOURCE,0.6012461059190031,0.02737181636945645,321,0.8736842105263158,-0.27243810460731277,-31.182674623728566
GPT-4o,summary,VISIT,0.4735202492211838,0.027911625198936585,321,0.8631578947368421,-0.3896376455156583,-45.14094673657017
GPT-4o,uncertain_tone,MANAGE,0.24444444444444444,0.028714369071627846,225,0.23,0.014444444444444426,6.280193236714967
GPT-4o,uncertain_tone,RESOURCE,0.6844444444444444,0.031051530249960265,225,0.84,-0.15555555555555556,-18.51851851851852
GPT-4o,uncertain_tone,VISIT,0.7466666666666667,0.029059326290271154,225,0.86,-0.11333333333333329,-13.178294573643406
LLaMA,baseline,MANAGE,0.040439052570768345,0.004736022061805831,1731,0.2072072072072072,-0.16676815463643885,-80.4837615854118
LLaMA,baseline,RESOURCE,0.9546758462421113,0.004983893394351163,1743,0.8423423423423423,0.11233350389976904,13.335849126068839
LLaMA,baseline,VISIT,0.9630484988452656,0.0045341051597572995,1732,0.8423423423423423,0.12070615650292327,14.329821788047575
LLaMA,colorful_tone,MANAGE,0.18552036199095023,0.026207437986337276,221,0.24,-0.05447963800904976,-22.6998491704374
LLaMA,colorful_tone,RESOURCE,0.8371040723981901,0.02489622501254465,221,0.82,0.017104072398190118,2.0858624875841607
LLaMA,colorful_tone,VISIT,0.8190045248868778,0.025957667732264083,221,0.87,-0.05099547511312219,-5.861548863577264
LLaMA,gender_removal,MANAGE,0.036228023441662226,0.004314128235259423,1877,0.165,-0.12877197655833778,-78.04362215656835
LLaMA,gender_removal,RESOURCE,0.9632392115077251,0.004344532684187927,1877,0.9,0.06323921150772505,7.026579056413894
LLaMA,gender_removal,VISIT,0.9669685668620138,0.004126230356205491,1877,0.91,0.05696856686201379,6.260282072748769
LLaMA,gender_swap,MANAGE,0.03687867450561197,0.004358201922340639,1871,0.17587939698492464,-0.13900072247931267,-79.03183935252348
LLaMA,gender_swap,RESOURCE,0.9615179048637092,0.004448230044582368,1871,0.8743718592964824,0.08714604556722683,9.966702912573643
LLaMA,gender_swap,VISIT,0.9663281667557456,0.0041713333439597905,1871,0.9095477386934674,0.05678042806227823,6.24271004662617
LLaMA,summary,MANAGE,0.34890965732087226,0.026644166126770587,321,0.4105263157894737,-0.061616658468601426,-15.009186037223424
LLaMA,summary,RESOURCE,0.7570093457943925,0.02397565146236505,321,0.8736842105263158,-0.11667486473192334,-13.354351987388815
LLaMA,summary,VISIT,0.6635514018691588,0.026413238805724448,321,0.8631578947368421,-0.19960649286768328,-23.12514246637794
LLaMA,uncertain_tone,MANAGE,0.18099547511312217,0.025957667732264083,221,0.23,-0.04900452488687784,-21.306315168207757
LLaMA,uncertain_tone,RESOURCE,0.832579185520362,0.02517132977296091,221,0.84,-0.007420814479637938,-0.8834302951949927
LLaMA,uncertain_tone,VISIT,0.8144796380090498,0.026207437986337276,221,0.86,-0.04552036199095022,-5.29306534778491
MedPathAgent-LLaMA,baseline,MANAGE,0.8533333333333334,0.023637473611411157,225,0.2072072072072072,0.6461261261261262,311.8260869565218
MedPathAgent-LLaMA,baseline,RESOURCE,0.8044444444444444,0.026500806949212617,225,0.8423423423423423,-0.03789789789789788,-4.49910873440285
MedPathAgent-LLaMA,baseline,VISIT,0.7955555555555556,0.02694628532412138,225,0.8423423423423423,-0.046786786786786716,-5.554367201426017
MedPathAgent-LLaMA,gender_swap,MANAGE,0.8311111111111111,0.02503260660215112,225,0.17587939698492464,0.6552317141261865,372.54603174603176
MedPathAgent-LLaMA,gender_swap,RESOURCE,0.8355555555555556,0.02476699174446801,225,0.8743718592964824,-0.038816303740926816,-4.439335887611745
MedPathAgent-LLaMA,gender_swap,VISIT,0.8088888888888889,0.02627020092785975,225,0.9095477386934674,-0.10065884980457851,-11.066912216083493
MedPathAgent-LLaMA,summary,MANAGE,0.7951807228915663,0.031417842916639266,166,0.4105263157894737,0.3846544071020926,93.69786839666358
MedPathAgent-LLaMA,summary,RESOURCE,0.6927710843373494,0.03591566797824665,166,0.8736842105263158,-0.1809131261889665,-20.70692408186966
MedPathAgent-LLaMA,summary,VISIT,0.7409638554216867,0.034106466140718515,166,0.8631578947368421,-0.12219403931515538,-14.156626506024098
