source,condition,task,MI,SEM,N,MI_reference,delta_vs_Clinician-consensus,pct_delta_vs_Clinician-consensus
Clinician-consensus,colorful_tone,MANAGE,0.1976522907747293,0.06005967919971705,100,0.1976522907747293,0.0,0.0
Clinician-consensus,colorful_tone,RESOURCE,0.14217406053163528,0.05367797065697583,100,0.14217406053163528,0.0,0.0
Clinician-consensus,colorful_tone,VISIT,0.1333636701478998,0.05429555618182225,100,0.1333636701478998,0.0,0.0
Clinician-consensus,gender_removal,MANAGE,0.19591384673611226,0.04200562644418803,200,0.19591384673611226,0.0,0.0
Clinician-consensus,gender_removal,RESOURCE,0.0989951148261173,0.035274190729693365,200,0.0989951148261173,0.0,0.0
Clinician-consensus,gender_removal,VISIT,0.18553070961714418,0.0469444339831546,200,0.18553070961714418,0.0,0.0
Clinician-consensus,gender_swap,MANAGE,0.18335918304174814,0.04204560971649977,199,0.18335918304174814,0.0,0.0
Clinician-consensus,gender_swap,RESOURCE,0.1695815447826317,0.04436429936140703,199,0.1695815447826317,0.0,0.0
Clinician-consensus,gender_swap,VISIT,0.13518721314441517,0.04148929798107331,199,0.13518721314441517,0.0,0.0
Clinician-consensus,summary,MANAGE,0.03915688543523413,0.026913831760493674,111,0.03915688543523413,0.0,0.0
Clinician-consensus,summary,RESOURCE,0.03783499139607801,0.025161851985593373,111,0.03783499139607801,0.0,0.0
Clinician-consensus,summary,VISIT,0.03584418425484102,0.02405854532636522,111,0.03584418425484102,0.0,0.0
Clinician-consensus,uncertain_tone,MANAGE,0.14373735030848203,0.05325174671836175,100,0.14373735030848203,0.0,0.0
Clinician-consensus,uncertain_tone,RESOURCE,0.07572339972996964,0.04233315941001294,100,0.07572339972996964,0.0,0.0
Clinician-consensus,uncertain_tone,VISIT,0.09174455152064517,0.04743488765495526,100,0.09174455152064517,0.0,0.0
GPT-4o,colorful_tone,MANAGE,0.28826246560590574,0.045210915926202126,222,0.1976522907747293,0.09061017483117645,45.84322017013594
GPT-4o,colorful_tone,RESOURCE,0.3300557449514171,0.046575348425447416,222,0.14217406053163528,0.1878816844197818,132.1490599039169
GPT-4o,colorful_tone,VISIT,0.28409407593401625,0.04573450418291215,222,0.1333636701478998,0.15073040578611646,113.02208886344911
GPT-4o,gender_removal,MANAGE,0.19668734742873795,0.01623331507123664,1878,0.19591384673611226,0.0007735006926256893,0.3948167551768622
GPT-4o,gender_removal,RESOURCE,0.23421932377493154,0.016702865907603497,1878,0.0989951148261173,0.13522420894881426,136.59685044694635
GPT-4o,gender_removal,VISIT,0.21491187936483713,0.01612495019027275,1878,0.18553070961714418,0.029381169747692948,15.836283819709998
GPT-4o,gender_swap,MANAGE,0.19702436703347992,0.015060267102252108,1868,0.18335918304174814,0.013665183991731777,7.452685905903289
GPT-4o,gender_swap,RESOURCE,0.24183370904493284,0.015556324264998242,1868,0.1695815447826317,0.07225216426230113,42.60614818370323
GPT-4o,gender_swap,VISIT,0.22411547184935818,0.015937362318639615,1868,0.13518721314441517,0.088928258704943,65.7815607234572
GPT-4o,summary,MANAGE,0.02726838456248379,0.006129676923313057,1373,0.03915688543523413,-0.01188850087275034,-30.361201460759784
GPT-4o,summary,RESOURCE,0.010145012113238705,0.003625907378454788,1373,0.03783499139607801,-0.027689979282839304,-73.18616513735921
GPT-4o,summary,VISIT,0.019685626202291362,0.005302621330020003,1373,0.03584418425484102,-0.016158558052549656,-45.07999941543467
GPT-4o,uncertain_tone,MANAGE,0.3671279908073948,0.04662452767625946,224,0.14373735030848203,0.22339064049891275,155.41586095714354
GPT-4o,uncertain_tone,RESOURCE,0.3559522753003329,0.04568378790735514,224,0.07572339972996964,0.28022887557036325,370.06906262748646
GPT-4o,uncertain_tone,VISIT,0.35215787654958514,0.04672693628370658,224,0.09174455152064517,0.26041332502894,283.84609299696615
LLaMA,colorful_tone,MANAGE,0.2904925295723626,0.04684992899141921,221,0.1976522907747293,0.09284023879763331,46.97149647683382
LLaMA,colorful_tone,RESOURCE,0.2743931931852009,0.04633925831529587,221,0.14217406053163528,0.1322191326535656,92.99807022403036
LLaMA,colorful_tone,VISIT,0.24743541660621057,0.044877903824837105,221,0.1333636701478998,0.11407174645831078,85.53434854620127
LLaMA,gender_removal,MANAGE,0.1329578660545532,0.014960091245638244,1725,0.19591384673611226,-0.06295598068155905,-32.13452327663094
LLaMA,gender_removal,RESOURCE,0.10852947101766289,0.01342510904171585,1736,0.0989951148261173,0.009534356191545593,9.631138070088081
LLaMA,gender_removal,VISIT,0.10577080319975772,0.013714152678905937,1728,0.18553070961714418,-0.07975990641738646,-42.99013709481126
LLaMA,gender_swap,MANAGE,0.14148591610509675,0.01426939085059254,1719,0.18335918304174814,-0.04187326693665139,-22.836743839067754
LLaMA,gender_swap,RESOURCE,0.11594883538443351,0.013782160211773212,1730,0.1695815447826317,-0.0536327093981982,-31.626501260466867
LLaMA,gender_swap,VISIT,0.11127653785756186,0.013722687171815157,1722,0.13518721314441517,-0.02391067528685331,-17.687083512336688
LLaMA,summary,MANAGE,0.25577861573273675,0.04826564318818532,175,0.03915688543523413,0.21662173029750262,553.21491454114
LLaMA,summary,RESOURCE,0.27474723071726986,0.04995254322523524,184,0.03783499139607801,0.23691223932119185,626.1723092284099
LLaMA,summary,VISIT,0.24209911091636055,0.048602672659230274,166,0.03584418425484102,0.20625492666151954,575.4208972789312
LLaMA,uncertain_tone,MANAGE,0.23517802628240433,0.04336642921233948,221,0.14373735030848203,0.0914406759739223,63.61650314109507
LLaMA,uncertain_tone,RESOURCE,0.2221880214768938,0.044169851926033905,221,0.07572339972996964,0.14646462174692415,193.42055727716715
LLaMA,uncertain_tone,VISIT,0.22033774067326892,0.04291297597521889,221,0.09174455152064517,0.12859318915262374,140.16438798949991
MedPathAgent-LLaMA,gender_swap,MANAGE,0.2384928346531101,0.04371928092638505,225,0.18335918304174814,0.05513365161136197,30.068661245512235
MedPathAgent-LLaMA,gender_swap,RESOURCE,0.19295533038134802,0.04177154664078871,225,0.1695815447826317,0.023373785598716307,13.783213042832369
MedPathAgent-LLaMA,gender_swap,VISIT,0.2119026583030097,0.04227320122303111,225,0.13518721314441517,0.07671544515859452,56.74756019760717
MedPathAgent-LLaMA,summary,MANAGE,0.1564597049487896,0.04358256471096055,166,0.03915688543523413,0.11730281951355548,299.57137348826046
MedPathAgent-LLaMA,summary,RESOURCE,0.20471637316421357,0.04610927997216013,166,0.03783499139607801,0.16688138176813555,441.0768328744342
MedPathAgent-LLaMA,summary,VISIT,0.17421945007761527,0.043353203471270856,166,0.03584418425484102,0.13837526582277426,386.0466312720889
MedPathAgent-LLaMA,uncertain_tone,MANAGE,0.170823065240844,0.03852105424533662,225,0.14373735030848203,0.027085714932361976,18.843894696981643
MedPathAgent-LLaMA,uncertain_tone,RESOURCE,0.17288519789854082,0.03866531298593491,225,0.07572339972996964,0.09716179816857118,128.31145790475742
MedPathAgent-LLaMA,uncertain_tone,VISIT,0.1724689545032903,0.03871104004396218,225,0.09174455152064517,0.08072440298264513,87.98822561629703
deepseek,colorful_tone,MANAGE,0.13732453187634613,0.09941273510619875,14,0.1976522907747293,-0.060327758898383155,-30.522165294375796
deepseek,colorful_tone,RESOURCE,0.5623351446188083,0.27891214618162746,4,0.14217406053163528,0.420161084087173,295.5258381986513
deepseek,colorful_tone,VISIT,0.2409309462771967,0.1665401929267119,8,0.1333636701478998,0.1075672761292969,80.65710549957511
deepseek,gender_removal,MANAGE,0.1141937670301752,0.08466270937894067,41,0.19591384673611226,-0.08172007970593706,-41.71225314972789
deepseek,gender_removal,RESOURCE,0.6730116670092563,0.17935434259480895,5,0.0989951148261173,0.574016552183139,579.8433116536975
deepseek,gender_removal,VISIT,0.3236423315082533,0.19866991613803958,8,0.18553070961714418,0.1381116218911091,74.44138071595384
deepseek,gender_swap,MANAGE,0.1380304575919034,0.07283085178529711,63,0.18335918304174814,-0.04532872544984473,-24.72127367600894
deepseek,gender_swap,RESOURCE,0.0,,1,0.1695815447826317,-0.1695815447826317,-100.0
deepseek,gender_swap,VISIT,0.21576155433883565,0.2399484381353631,4,0.13518721314441517,0.08057434119442047,59.60204321125111
deepseek,summary,MANAGE,0.00014832310309137453,0.013066058769378218,61,0.03915688543523413,-0.039008562332142754,-99.62120811846309
deepseek,summary,VISIT,0.0,0.0,8,0.03584418425484102,-0.03584418425484102,-100.0
deepseek,uncertain_tone,MANAGE,0.21207426669985308,0.2036149607750109,7,0.14373735030848203,0.06833691639137104,47.54290812006046
deepseek,uncertain_tone,RESOURCE,0.0,,1,0.07572339972996964,-0.07572339972996964,-100.0
deepseek,uncertain_tone,VISIT,0.0,0.0,2,0.09174455152064517,-0.09174455152064517,-100.0
medgemma,colorful_tone,MANAGE,0.0947507953413872,0.06152140405371232,65,0.1976522907747293,-0.1029014954333421,-52.061878478616904
medgemma,colorful_tone,RESOURCE,0.5195798391305151,0.16051658213805703,14,0.14217406053163528,0.3774057785988798,265.45333036676044
medgemma,colorful_tone,VISIT,0.28504994726125765,0.1450827407288363,21,0.1333636701478998,0.15168627711335786,113.73882928172145
medgemma,gender_removal,MANAGE,0.055908441704447503,0.0273713359932008,275,0.19591384673611226,-0.14000540503166475,-71.46274107937157
medgemma,gender_removal,RESOURCE,0.3295973367877126,0.08309672986082034,66,0.0989951148261173,0.2306022219615953,232.94303195328672
medgemma,gender_removal,VISIT,0.24947525994998376,0.056909235004804666,118,0.18553070961714418,0.06394455033283958,34.46574988302136
medgemma,gender_swap,MANAGE,0.06379739227394603,0.029809567786547832,273,0.18335918304174814,-0.11956179076780211,-65.20632824840831
medgemma,gender_swap,RESOURCE,0.3779439807915693,0.07862591649545593,73,0.1695815447826317,0.2083624360089376,122.86857999555019
medgemma,gender_swap,VISIT,0.3642628453430113,0.06254689028897627,119,0.13518721314441517,0.2290756321985961,169.4506653923575
medgemma,summary,MANAGE,0.0042122623147177185,0.0031365710595894856,874,0.03915688543523413,-0.03494462312051641,-89.24260122351957
medgemma,summary,RESOURCE,0.005468599769811094,0.0036862999614415853,836,0.03783499139607801,-0.032366391626266915,-85.54618471413747
medgemma,summary,VISIT,0.000673102736557768,0.0016026852086961957,844,0.03584418425484102,-0.03517108151828325,-98.1221424045468
medgemma,uncertain_tone,MANAGE,0.08842236864362718,0.058069787570997546,72,0.14373735030848203,-0.05531498166485485,-38.48337369941811
medgemma,uncertain_tone,RESOURCE,0.20783521907823374,0.134882499637655,15,0.07572339972996964,0.1321118193482641,174.46630740217174
medgemma,uncertain_tone,VISIT,0.45391266155837384,0.11354192200190392,24,0.09174455152064517,0.36216811003772864,394.75707716139453
qwen,colorful_tone,MANAGE,0.2609335514063811,0.047870180446671184,163,0.1976522907747293,0.06328126063165179,32.01645697280357
qwen,colorful_tone,RESOURCE,0.22470248118069347,0.046650748897891225,163,0.14217406053163528,0.08252842064905819,58.047452777572396
qwen,colorful_tone,VISIT,0.22967758897244814,0.047358220442350406,163,0.1333636701478998,0.09631391882454834,72.21900740864179
qwen,gender_removal,MANAGE,0.36250291779318744,0.021988299054577765,962,0.19591384673611226,0.16658907105707518,85.03180037165198
qwen,gender_removal,RESOURCE,0.34601511267657126,0.022328932657383213,962,0.0989951148261173,0.24701999785045398,249.52746232411477
qwen,gender_removal,VISIT,0.3583264597354911,0.022062999792034473,962,0.18553070961714418,0.1727957501183469,93.13592907337186
