metric,source,mean_value
ATR,Clinician-consensus,0.6574477393288555
ATR,GPT-4o,0.588078826756058
ATR,LLaMA,0.629359867138755
ATR,MedPathAgent-LLaMA,0.7953726015171799
ATR,deepseek,0.3087940810044099
ATR,medgemma,0.43182822967810264
ATR,qwen,0.5755394904895191
MI,Clinician-consensus,0.12438659974984553
MI,GPT-4o,0.2229027700348629
MI,LLaMA,0.19857462098545162
MI,MedPathAgent-LLaMA,0.18832484101897348
MI,deepseek,0.18696092786097993
MI,medgemma,0.20672600351234346
MI,qwen,0.26425330852198364
PC,Clinician-consensus,0.15514507975311995
PC,GPT-4o,0.11084248330302779
PC,LLaMA,0.05019790973033426
PC,MedPathAgent-LLaMA,0.11070058009817046
PC,deepseek,0.1493189572243665
PC,medgemma,0.1468294467428352
PC,qwen,0.14104932596288433
