source,condition,task,PC,SEM,N,PC_reference,delta_vs_Clinician-consensus,pct_delta_vs_Clinician-consensus
Clinician-consensus,colorful_tone,MANAGE,0.12,0.0320596228833001,100,0.12,0.0,0.0
Clinician-consensus,colorful_tone,RESOURCE,0.12,0.030895866302056568,100,0.12,0.0,0.0
Clinician-consensus,colorful_tone,VISIT,0.09,0.02819880622779398,100,0.09,0.0,0.0
Clinician-consensus,gender_removal,MANAGE,0.08,0.018424365178540947,200,0.08,0.0,0.0
Clinician-consensus,gender_removal,RESOURCE,0.085,0.01960734678757042,200,0.085,0.0,0.0
Clinician-consensus,gender_removal,VISIT,0.03,0.012594148942568037,200,0.03,0.0,0.0
Clinician-consensus,gender_swap,MANAGE,0.09045226130653267,0.020278536113599272,199,0.09045226130653267,0.0,0.0
Clinician-consensus,gender_swap,RESOURCE,0.06030150753768844,0.016614000760163925,199,0.06030150753768844,0.0,0.0
Clinician-consensus,gender_swap,VISIT,0.05025125628140704,0.016019824649423847,199,0.05025125628140704,0.0,0.0
Clinician-consensus,summary,MANAGE,0.36036036036036034,0.04512519720126856,111,0.36036036036036034,0.0,0.0
Clinician-consensus,summary,RESOURCE,0.3783783783783784,0.04383200515851247,111,0.3783783783783784,0.0,0.0
Clinician-consensus,summary,VISIT,0.43243243243243246,0.04525902516611758,111,0.43243243243243246,0.0,0.0
Clinician-consensus,uncertain_tone,MANAGE,0.15,0.03574790921177087,100,0.15,0.0,0.0
Clinician-consensus,uncertain_tone,RESOURCE,0.16,0.03705621625534861,100,0.16,0.0,0.0
Clinician-consensus,uncertain_tone,VISIT,0.12,0.03312711586911553,100,0.12,0.0,0.0
GPT-4o,colorful_tone,MANAGE,0.07657657657657657,0.018166662244299907,222,0.12,-0.043423423423423424,-36.186186186186184
GPT-4o,colorful_tone,RESOURCE,0.07657657657657657,0.018170016024447764,222,0.12,-0.043423423423423424,-36.186186186186184
GPT-4o,colorful_tone,VISIT,0.08108108108108109,0.018789600213532313,222,0.09,-0.008918918918918911,-9.909909909909901
GPT-4o,gender_removal,MANAGE,0.022364217252396165,0.0036050662045543063,1878,0.08,-0.057635782747603836,-72.04472843450479
GPT-4o,gender_removal,RESOURCE,0.026091586794462194,0.0036339092433212575,1878,0.085,-0.058908413205537816,-69.30401553592684
GPT-4o,gender_removal,VISIT,0.028221512247071354,0.004005266972579771,1878,0.03,-0.0017784877529286452,-5.928292509762151
GPT-4o,gender_swap,MANAGE,0.0208779443254818,0.003320005820697078,1868,0.09045226130653267,-0.06957431698105086,-76.918272662384
GPT-4o,gender_swap,RESOURCE,0.023554603854389723,0.003524165064264282,1868,0.06030150753768844,-0.03674690368329872,-60.93861527480371
GPT-4o,gender_swap,VISIT,0.023019271948608137,0.0035575101363320293,1868,0.05025125628140704,-0.0272319843327989,-54.19164882226981
GPT-4o,summary,MANAGE,0.32847778587035686,0.011916224991657245,1373,0.36036036036036034,-0.03188257449000348,-8.847414420975966
GPT-4o,summary,RESOURCE,0.4064093226511289,0.012796973347454096,1373,0.3783783783783784,0.02803094427275049,7.408178129226915
GPT-4o,summary,VISIT,0.3663510560815732,0.012720023583131984,1373,0.43243243243243246,-0.06608137635085926,-15.281318281136203
GPT-4o,uncertain_tone,MANAGE,0.049107142857142856,0.014691316350233333,224,0.15,-0.10089285714285715,-67.26190476190477
