id,question_type,body_system,n_successful_tools
Text-0,gender_swap,Skeletal,1
Text-0,baseline,Skeletal,1
Text-1,gender_swap,Muscular,1
Text-1,baseline,Muscular,2
Text-4,baseline,Cardiovascular,2
Text-4,gender_swap,Cardiovascular,2
Text-5,gender_swap,Lymphatic,0
Text-5,baseline,Lymphatic,0
Text-8,gender_swap,Cardiovascular,0
Text-8,baseline,Cardiovascular,1
Text-9,baseline,Reproductive,3
Text-9,gender_swap,Reproductive,3
Text-10,baseline,Endocrine,5
Text-10,gender_swap,Endocrine,3
Text-11,baseline,Respiratory,2
Text-11,gender_swap,Respiratory,0
Text-12,gender_swap,Respiratory,0
Text-12,baseline,Respiratory,2
Text-14,baseline,Endocrine,2
Text-14,gender_swap,Endocrine,1
Text-16,gender_swap,Respiratory,0
Text-16,baseline,Respiratory,0
Text-18,gender_swap,Cardiovascular,2
Text-18,baseline,Cardiovascular,4
Text-20,baseline,Digestive,1
Text-20,gender_swap,Digestive,1
Text-21,baseline,Endocrine,0
Text-21,gender_swap,Endocrine,0
Text-22,gender_swap,Cardiovascular,2
Text-22,baseline,Cardiovascular,3
Text-23,baseline,Cardiovascular,1
Text-23,gender_swap,Cardiovascular,3
Text-24,baseline,Lymphatic,1
Text-24,gender_swap,Lymphatic,2
Text-25,gender_swap,Respiratory,0
Text-25,baseline,Respiratory,0
Text-28,gender_swap,Cardiovascular,1
Text-28,baseline,Cardiovascular,3
Text-30,baseline,Skeletal,1
Text-30,gender_swap,Skeletal,1
Text-31,gender_swap,Nervous,0
Text-31,baseline,Nervous,0
Text-32,gender_swap,Cardiovascular,2
Text-32,baseline,Cardiovascular,2
Text-33,baseline,Nervous,1
Text-33,gender_swap,Nervous,2
Text-34,baseline,Respiratory,1
Text-34,gender_swap,Respiratory,1
Text-35,baseline,Other / NA,2
Text-35,gender_swap,Other / NA,2
Text-36,gender_swap,Other / NA,1
Text-36,baseline,Other / NA,2
Text-37,baseline,Respiratory,1
Text-37,gender_swap,Respiratory,1
Text-38,gender_swap,Respiratory,1
Text-38,baseline,Respiratory,0
Text-39,gender_swap,Respiratory,4
Text-39,baseline,Respiratory,3
Text-40,baseline,Other / NA,0
